articleFileName,citationNumCrossRef,citationSourceCrossRef,CitationNumGoogle
"2012noseworthy_wang_islam@journal of consumer psychology~how context shapes category inferences and attribute preference for new ambiguous products",14,"<Journal of Business Research><Journal of Marketing Management><Journal of Marketing><Journal of Business Ethics><European Journal of Operational Research><Food Quality and Preference><Journal of Consumer Psychology><Journal of Marketing><Journal of Choice Modelling><SSRN Electronic Journal><Psychology & Marketing><Journal of Business Ethics><Frontiers in Psychology><Journal of the Operational Research Society>",34
"2012park_john@journal of consumer psychology~capitalizing on brand personalities in advertising - the influence of implicit self-theories on ad appeal effectiveness",35,"<Consumer Psychology Review><Journal of Business Research><Tourism Management Perspectives><Sport, Business and Management: An International Journal><Journal of the Association for Consumer Research><Journal of Consumer Research><Journal of Brand Management><Journal of Industrial Distribution & Business><Spanish Journal of Marketing - ESIC><Journal of East-West Business><Journal of Consumer Psychology><Journal of Consumer Behaviour><Management & Marketing><Journal of Consumer Psychology><International Journal of Tourism Research><Suma Psicológica><Journal of Advertising><Culinary Science & Hospitality Research><Personality and Social Psychology Bulletin><Culinary Science & Hospitality Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><SSRN Electronic Journal><Procedia - Social and Behavioral Sciences><Journal of Consumer Psychology><Pakistan Journal of Nutrition><Culinary Science & Hospitality Research><Culinary Science & Hospitality Research><International Journal of Advertising><Journal of Islamic Marketing><Cornell Hospitality Quarterly><Journal of the Association for Consumer Research><BAR - Brazilian Administration Review>",70
"2012passyn_sujan@journal of consumer psychology~skill-based versus effort-based task difficulty - a task-analysis approach to the role of specific emotions in motivating difficult actions",9,"<Journal of Consumer Affairs><Information & Management><Journal of Industrial Distribution & Business><European Journal of Marketing><The Service Industries Journal><Journal of Distribution Science><Human-Computer Interaction - INTERACT 2017><Journal of the Association for Consumer Research><Journal of Consumer Research>",20
"2012plassmann_ramsøy_milosavljevic@journal of consumer psychology~branding the brain - a critical review and outlook",145,"<Global Branding><Organizational Neuroethics><Organizational Neuroethics><Marketing><Journal of Business Research><Organizational Research Methods><Multisensory Packaging><Case Studies in the Wine Industry><Journal of Food Products Marketing><Journal of Business Research><Handbook of Research on Narrative Advertising><Handbuch Markenführung><Handbuch Markenführung><Neuropsychologia><Journal of Retailing and Consumer Services><Encyclopedia of Food and Agricultural Ethics><Proceedings of the Design Society: International Conference on Engineering Design><Journal of Advertising Research><Asia Pacific Journal of Marketing and Logistics><Computational Intelligence and Neuroscience><Wiley Interdisciplinary Reviews: Cognitive Science><Eye Movement Research><Scientific Reports><AJOB Neuroscience><Neuromarketing and Big Data Analytics for Strategic Consumer Engagement><Applications of Neuroscience><Food Research International><Applications of Neuroscience><Journal of Destination Marketing & Management><Innovative Research Methodologies in Management><European Journal of Marketing><European Journal of Marketing><Journal of Marketing Research><European Journal of Social Science Education and Research><SSRN Electronic Journal><The Palgrave Handbook of Multidisciplinary Perspectives on Entrepreneurship><Journal of Business Research><Journal of Business-to-Business Marketing><Handbuch Techniken der Kommunikation><Problems, Methods and Tools in Experimental and Behavioral Economics><Problems, Methods and Tools in Experimental and Behavioral Economics><Consumer Psychology Review><Journal of Consumer Behaviour><European Journal of Neuroscience><Journal of Business Research><Japan Marketing Journal><Digital Entrepreneurship and Global Innovation><Ethics and Neuromarketing><Journal of Business Ethics><Handbuch Markenführung><Ethics and Neuromarketing><Appetite><Ethics & Behavior><Science><International Journal of Research in Marketing><Journal of Destination Marketing & Management><Neuroeconomic and Behavioral Aspects of Decision Making><Ethics and Neuromarketing><Applying Neuroscience to Business Practice><Encyclopedia of Food and Agricultural Ethics><Evolutionary Psychology><Journal of Consumer Research><AMS Review><Journal of Nonprofit & Public Sector Marketing><Advances in Manufacturing><Der Einfluss unbewusster Motive auf den Entscheidungsprozess><SSRN Electronic Journal><Neuromarketing in food retailing><Hormones and Behavior><Moderne Methoden der Marktforschung><Australasian Marketing Journal (AMJ)><Journal of Product & Brand Management><Appetite><Journal of Interactive Marketing><Journal of Business Research><Journal of Product & Brand Management><Integrating the Packaging and Product Experience in Food and Beverages><Multisensory Flavor Perception><Journal of Economic Psychology><Handbuch Markenführung><Selected Issues in Experimental Economics><Handbuch Sozialtechniken der Kommunikation><Journal of Consumer Behaviour><Alcoholism: Clinical and Experimental Research><Journal of Marketing Research><Science and Engineering Ethics><International Encyclopedia of the Social & Behavioral Sciences><Energy Policy><Journal of Marketing Research><Journal of Marketing Research><Journal of Marketing Research><Marketing and Consumer Behavior><International Encyclopedia of the Social & Behavioral Sciences><Journal of Marketing Research><Journal of Marketing Research><Journal of Hospitality and Tourism Technology><Strategic E-Commerce Systems and Tools for Competing in the Digital Marketplace><Handbook of Research on Managing and Influencing Consumer Behavior><Handbook of Neuroethics><The Wiley Blackwell Handbook of Judgment and Decision Making><Social Cognitive and Affective Neuroscience><El Profesional de la Informacion><Brand Management in Emerging Markets><Journal of Business Ethics><Schmalenbach Business Review><MERCATI E COMPETITIVITÀ><Journal of Brand Management><Marketing Letters><Cognitive Computation><Journal of Consumer Behaviour><BMC Neurology><Cuadernos.info><Cognitive Neurodynamics><Expert Systems with Applications><Seminars in Cell & Developmental Biology><SSRN Electronic Journal><Journal of Consumer Psychology><Frontiers in Human Neuroscience><Frontiers in Human Neuroscience><Frontiers in Human Neuroscience><Frontiers in Human Neuroscience><Frontiers in Human Neuroscience><Cogent Psychology><Cogent Psychology><Cogent Psychology><Journal of Advertising Research><Frontiers in Neuroscience><Journal of Islamic Marketing><Journal of Consumer Marketing><Neuroethics><Journal of Product & Brand Management><Business History><Journal of Advertising Research><International Journal of Emerging Markets><Journal of Marketing Communications><Frontiers in Psychology><Revista de Administração Contemporânea><Frontiers in Neuroscience><The Journal for Transdisciplinary Research in Southern Africa><Behavioral Sciences><Science, Technology, & Human Values><Social Psychology Quarterly><International Journal of Business Communication><Gestão & Produção>",365
"2012poor_duhachek_krishnan@journal of consumer psychology~the moderating role of emotional differentiation on satiation",9,"<Journal of Consumer Psychology><Psychology & Marketing><Journal of Travel Research><Annals of Tourism Research><Journal of Islamic Marketing><Journal of Consumer Research><International Journal of Hospitality Management><International Journal of Hospitality Management><Journal of Hospitality and Tourism Insights>",17
"2012reimann_castaño_zaichkowsky_bechara@journal of consumer psychology~how we relate to brands - psychological and neurophysiological insights into consumer–brand relationships",82,"<Global Branding><Journal of Retailing and Consumer Services><Journal of Business Research><Organizational Research Methods><International Journal of Market Research><Appetite><Handbuch Markenführung><Handbuch Markenführung><Journal of Business Research><Journal of Business Research><Asia Pacific Journal of Marketing and Logistics><Psychology & Marketing><Psychology & Marketing><Journal of Business Research><European Journal of Management and Business Economics><Journal of Cleaner Production><Food Quality and Preference><European Journal of Marketing><Industrial Marketing Management><Qualitative Market Research: An International Journal><Journal of Consumer Research><Forum Markenforschung 2016><Journal of Sport Management><Handbuch Markenführung><SSRN Electronic Journal><Computers in Human Behavior><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Journal of Business Research><Managing Brands in 4D><Journal of Consumer Psychology><Ethics and Neuromarketing><Journal of Business Ethics><Handbuch Markenführung><International Journal of Research in Marketing><European Journal of Marketing><Personality and Individual Differences><Advances in Complex Systems><Journal of Consumer Research><Journal of Consumer Psychology><International Journal of Pharmaceutical and Healthcare Marketing><Journal of Personal Selling & Sales Management><Journal of Vacation Marketing><Food Quality and Preference><International Journal of Sports Marketing and Sponsorship><Journal of Service Theory and Practice><European Journal of Marketing><Marketing Intelligence & Planning><DECISION><Journal of Social Sciences><Understanding Consumer Behavior and Consumption Experience><SSRN Electronic Journal><Procedia - Social and Behavioral Sciences><Psychology & Marketing><Psychology & Marketing><Psychology & Marketing><Qualitative Market Research: An International Journal><European Management Journal><Journal of Consumer Marketing><Journal of Brand Management><International Journal of Tourism Research><Psychology & Marketing><Obesity><Journal of Consumer Psychology><Journal of Service Management><Asia Pacific Journal of Marketing and Logistics><Current Directions in Psychological Science><Marketing Letters><Journal of Consumer Psychology><Frontiers in Psychology><Frontiers in Psychology><FIIB Business Review><Online Information Review><Journal of Marketing Management><Leisure/Loisir><Journal of Consumer Research><Journal of Consumer Marketing><International Journal of Advertising><International Journal of Business Communication><Hacettepe Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi><Gestão & Produção>",172
"2012rice_kelting_lutz@journal of consumer psychology~multiple endorsers and multiple endorsements - the influence of message repetition, source congruence and involvement on brand attitudes",44,"<Journal of Strategic Marketing><Journal of Promotion Management><Industrial Marketing Management><International Journal of Advertising><Information Technology & People><Asia Pacific Journal of Marketing and Logistics><Sport, Business and Management: An International Journal><Journal of Advertising Research><Computers in Human Behavior><RAUSP Management Journal><Journal of Sport Management><International Journal of Pharmaceutical and Healthcare Marketing><Journal of Travel & Tourism Marketing><Journal of Global Scholars of Marketing Science><Journal of Retailing and Consumer Services><Managing Sport and Leisure><Journal of Global Scholars of Marketing Science><Management & Marketing><International Journal of Advertising><Advances in National Brand and Private Label Marketing><Journal of Advertising><Clothing and Textiles Research Journal><AMS Review><Advertising in New Formats and Media><Journal of Business Research><Current Issues in Tourism><International Journal of Advertising><Schmalenbach Business Review><Advances in Advertising Research (Vol. VI)><Making a Difference Through Marketing><Psychology & Marketing><Computers in Human Behavior><Celebrity Studies><Journal of Promotion Management><Brand Meaning Management><Journal of Brand Management><Journal of Promotion Management><Psychology & Marketing><Benchmarking: An International Journal><Recherche et Applications en Marketing (French Edition)><International Journal of Advertising><Recherche et Applications en Marketing (English Edition)><İlef Dergisi><AMS Review>",88
"2012rucker_galinsky_dubois@journal of consumer psychology~power and consumer behavior - how power shapes who and what consumers value",146,"<Journal of Business Research><Australasian Marketing Journal (AMJ)><Annals of Tourism Research><Journal of Business Research><Appetite><Journal of Travel & Tourism Marketing><Journal of Consumer Research><International Journal of Hospitality Management><Organizational Behavior and Human Decision Processes><Journal of Consumer Research><Organizational Behavior and Human Decision Processes><International Journal of Contemporary Hospitality Management><Current Opinion in Psychology><Grundlagen und neue Perspektiven des Luxustourismus><Appetite><Journal of Consumer Psychology><Journal of Consumer Psychology><Psychology & Marketing><Service Business><Journal of Retailing><Journal of Contemporary Marketing Science><Central European Business Review><Journal of Strategic Marketing><HUMOR><Journal of Services Marketing><Journal of Consumer Research><Journal of Hospitality & Tourism Research><Journal of Consumer Research><International Journal of Market Research><Electronic Markets><Cornell Hospitality Quarterly><Organizational Behavior and Human Decision Processes><Journal of Business Research><Journal of Adolescence><Academy of Management Journal><Journal of Retailing><SSRN Electronic Journal><, ><Journal of Business Research><Journal of Industrial Distribution & Business><The Leadership Quarterly><Consumer Psychology Review><Psychology & Marketing><Journal of Travel Research><International Journal of Contemporary Hospitality Management><Journal of Consumer Research><Journal of Retailing and Consumer Services><Journal of Business Research><Journal of Experimental Social Psychology><Research in Organizational Behavior><Journal of Distribution Science><Journal of Retailing and Consumer Services><Current Opinion in Psychology><Journal of Business Research><International Journal of Hospitality Management><Marketing Letters><Current Opinion in Psychology><Evolutionary Psychology><Journal of Consumer Research><Review of General Psychology><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Service Research><Journal of Consumer Research><Cogent Business & Management><European Journal of Marketing><Research in Social Stratification and Mobility><Journal of Consumer Research><Personality and Social Psychology Bulletin><Suma Psicológica><International Journal of Research in Marketing><Journal of Services Marketing><Journal of Services Marketing><Journal of Marketing Research><Journal of Service Research><Journal of Fashion Marketing and Management: An International Journal><Cornell Hospitality Quarterly><Journal of Consumer Research><Current Opinion in Psychology><Journal of Business Research><SSRN Electronic Journal><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Product Research><Appetite><Open Journal of Business and Management><Personality and Social Psychology Bulletin><Current Issues in Tourism><Journal of Marketing><Research in Organizational Behavior><Cornell Hospitality Quarterly><Journal of Consumer Research><Journal of Management><Brand Meaning Management><Journal of Advertising><Journal of Hospitality Marketing & Management><International Marketing Review><Shine><Shine><Shine><Shine><Shine><Shine><Shine><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Research><Journal of Consumer Research><Tourism Management><Journal of Consumer Research><Journal of International Consumer Marketing><Journal of Consumer Research><Journal of Marketing><Journal of Retailing and Consumer Services><Consumption and Well-Being in the Material World><Journal of Consumer Psychology><Journal of Experimental Social Psychology><Journal of Business Research><Journal of Marketing Research><Journal of Marketing Management><Personality and Social Psychology Bulletin><Journal of Consumer Psychology><International Journal of Research Studies in Psychology><PLOS ONE><Behaviour & Information Technology><International Journal of Sociology and Social Policy><Journal of Hospitality & Tourism Research><Internet Research><Journal of Marketing Research><International Journal of Contemporary Hospitality Management><European Journal of Marketing><Frontiers in Human Neuroscience><PLOS ONE><International Journal of Design Creativity and Innovation><Sustainability><PLOS ONE><PLOS ONE><Journal of Consumer Psychology><Journal of Business Ethics><Customer Needs and Solutions><Frontiers in Psychology><Journal of Public Policy & Marketing><Journal of Consumer Research><The International Review of Retail, Distribution and Consumer Research>",333
"2012saad_stenstrom@journal of consumer psychology~calories, beauty, and ovulation - the effects of the menstrual cycle on food and appearance-related consumption",51,"<Biophysical Measurement in Experimental Social Science Research><Journal of Business Research><Journal of Business Research><Journal of Business Research><Journal of Business Research><Journal of Business Research><Journal of Business Research><Nature Communications><Current Sexual Health Reports><Consumer Psychology Review><Journal of Consumer Psychology><Physiology & Behavior><Psychoneuroendocrinology><Journal of Consumer Psychology><Journal of Business Ethics><Theoretical Economics Letters><Evolutionary Psychological Science><Journal of Marketing Research><Journal of Consumer Behaviour><Hormones and Behavior><Current Opinion in Psychology><Journal of Marketing Research><Current Opinion in Psychology><Journal of Marketing Research><Journal of Consumer Psychology><Personality and Social Psychology Bulletin><Journal of Consumer Research><DECISION><Wiley Encyclopedia of Management><The Handbook of Evolutionary Psychology><Evolutionary Psychology><Journal of Marketing Research><Hormones and Behavior><Games and Economic Behavior><Politics and the Life Sciences><Psychologie der Wirtschaft><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><SSRN Electronic Journal><PLoS ONE><PLOS ONE><Journal of Consumer Research><PLOS ONE><PLOS ONE><Revista de Administração Contemporânea><Psychology & Marketing>",98
"2012schmitt@journal of consumer psychology~the consumer psychology of brands",161,"<Teaching, Learning, and Leading With Computer Simulations><Global Branding><User Experience Is Brand Experience><Journal of Consumer Psychology><Journal of Retailing and Consumer Services><Journal of the Academy of Marketing Science><International Journal of Market Research><Brand Culture and Identity><Brand Culture and Identity><Handbook of Research on Digital Marketing Innovations in Social Entrepreneurship and Solidarity Economics><Tourism Management><Handbuch Fundraising><European Journal of Marketing><The Bottom Line><International Journal of Contemporary Hospitality Management><Corporate Brand Management><Handbuch Markenführung><Handbuch Markenführung><Journal of Retailing and Consumer Services><Journal of Retailing><Handbook of the Economics of Marketing, Volume 1><Journal of Consumer Marketing><Marketing Intelligence & Planning><Problems and Perspectives in Management><Driving Customer Appeal Through the Use of Emotional Branding><Building Brand Identity in the Age of Social Media><Sports Media, Marketing, and Management><Journal of Business Research><Journal of Brand Management><Social Media Marketing><Digital Marketing and Consumer Engagement><Analyzing Attachment and Consumers' Emotions><Driving Customer Appeal Through the Use of Emotional Branding><Driving Customer Appeal Through the Use of Emotional Branding><Journal of Business Research><Annual Review of Resource Economics><Brand Gender><European Journal of Marketing><Journal of Business Research><SSRN Electronic Journal><European Journal of Marketing><Managing Brands in 4D><Journal of Brand Management><Fashion and Textiles><European Journal of Marketing><Journal of Business Research><Marken in der Smart City><Revista de Gestão><Biological Theory><Journal of Consumer Psychology><Advances in Advertising Research IX><HCI in Business, Government, and Organizations><Encouraging Participative Consumerism Through Evolutionary Digital Marketing><Universal Access in Human–Computer Interaction. Design and Development Approaches and Methods><Journal of Services Marketing><International Marketing Review><Journal of Business Research><Journal of International Consumer Marketing><Journal of Brand Management><Journal of Product & Brand Management><Telematics and Informatics><Journal of Global Scholars of Marketing Science><International Journal of Research in Marketing><International Journal of Electronic Commerce><Marketing at the Confluence between Entertainment and Analytics><Handbook of Research on Small and Medium Enterprises in Developing Countries><Asia Branding><Sport, Business and Management: An International Journal><American Behavioral Scientist><Advances in Advertising Research (Vol. VII)><Computers in Human Behavior><Journal of Marketing Management><Journal of Brand Management><International Journal of Hospitality Management><Annual Review of Economics><SSRN Electronic Journal><Handbuch Markenführung><SSRN Electronic Journal><Journal of Brand Management><Design Science><IIC - International Review of Intellectual Property and Competition Law><Journal of Business Research><Journal of Product & Brand Management><Ethical and Social Perspectives on Global Business Interaction in Emerging Markets><Asia Pacific Journal of Marketing and Logistics><Journal of Product & Brand Management><The Korean Journal of Consumer and Advertising Psychology><International Journal of Research in Marketing><Journal of Brand Management><Internet Research><International Journal of Contemporary Hospitality Management><AMS Review><DECISION><Journal of Hospitality Marketing & Management><Journal of Product & Brand Management><SSRN Electronic Journal><Journal of Consumer Psychology><International Journal of E-Business Research><Successful Technological Integration for Competitive Advantage in Retail Settings><Analyzing the Cultural Diversity of Consumers in the Global Marketplace><Journal of Business Research><Journal of Marketing Channels><Technological Forecasting and Social Change><Journal of Business Research><Journal of Service Management><Journal of Marketing Communications><European Journal of Marketing><Industrial Management & Data Systems><Journal of Hospitality Marketing & Management><International Marketing Review><Journal of Retailing and Consumer Services><Arts and the Market><Procedia - Social and Behavioral Sciences><International Journal of Hospitality Management><Psychology & Marketing><Psychology & Marketing><International Journal of Bank Marketing><Journal of Marketing & Distribution><Journal of Strategic Marketing><Procedia Economics and Finance><Psychology & Marketing><Journal of Consumer Psychology><Journal of Interactive Marketing><Asia Pacific Journal of Marketing and Logistics><Pakistan Journal of Nutrition><Tourism Review><Journal of Marketing Management><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Services Marketing Quarterly><European Journal of Marketing><International Journal of Contemporary Hospitality Management><Sustainability><The International Review of Retail, Distribution and Consumer Research><Journal of Consumer Marketing><IIM Kozhikode Society & Management Review><Journal of Hospitality and Tourism Insights><Frontiers in Psychology><Sustainability><Sustainability><Journal of Consumer Marketing><Cornell Hospitality Quarterly><Social Responsibility Journal><Journal of Product & Brand Management><International Journal of Contemporary Hospitality Management><Journal of Product & Brand Management><International Journal of Environmental Research and Public Health><International Journal of Contemporary Hospitality Management><Frontiers in Psychology><Sustainability><PLOS ONE><Memory><Journal of Nonprofit & Public Sector Marketing><Journal of Multilingual and Multicultural Development><Qualitative Market Research: An International Journal><Maternal & Child Nutrition><Journal of Consumer Research><Journal of Brand Management><International Journal of Advertising>",428
"2012simpson_griskevicius_rothman@journal of consumer psychology~bringing relationships into consumer decision-making",5,"<Journal of Business Research><Journal of Consumer Behaviour><Data Science, Learning by Latent Structures, and Knowledge Discovery><PLOS ONE><Journal of Consumer Research>",12
"2012simpson_griskevicius_rothman@journal of consumer psychology~consumer decisions in relationships",39,"<Journal of Business Research><Journal of Business Research><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Consumer Psychology><Decision Support Systems><Journal of Consumer Research><Journal of Consumer Research><Journal of Consumer Research><Marketing Science><Kasetsart Journal of Social Sciences><Consumer Psychology Review><Journal of Consumer Behaviour><FINANCIAL PLANNING REVIEW><Psychology & Marketing><Political Science Research and Methods><Economic Psychology><Journal of Consumer Psychology><Journal of Marketing Research><Information Development><Current Opinion in Psychology><Journal of Consumer Psychology><Aging and Decision Making><Australasian Marketing Journal (AMJ)><Journal of the Korean Society of Clothing and Textiles><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Research><Advances in Taxation><Journal of Consumer Research><Current Directions in Psychological Science><PLOS ONE><Marketing Letters><Journal of Consumer Research><Frontiers in Psychology><Scandinavian Journal of Hospitality and Tourism>",94
"2012smith_schwarz@journal of consumer psychology~when promoting a charity can hurt charitable giving - a metacognitive analysis",11,"<Nonprofit and Voluntary Sector Quarterly><International Journal of Nonprofit and Voluntary Sector Marketing><Journal of Experimental Social Psychology><Journal of Islamic Marketing><Journal of Consumer Research><Current Psychology><Journal of Marketing><Journal of Consumer Psychology><Journal of Current Issues & Research in Advertising><Journal of Consumer Research><Journal of the Association for Consumer Research>",19
"2012spence@journal of consumer psychology~managing sensory expectations concerning products and brands - capitalizing on the potential of sound and shape symbolism",156,"<User Experience Is Brand Experience><Journal of Retailing and Consumer Services><Organizational Neuroethics><Food Quality and Preference><International Journal of Hospitality Management><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Journal of Interactive Marketing><Food Quality and Preference><Food Quality and Preference><Trends in Beverage Packaging><Journal of Retailing and Consumer Services><Food Quality and Preference><Werbegeschichte(n)><Handbook of Eating and Drinking><Food Quality and Preference><Food Quality and Preference><Organizational Research Methods><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><i-Perception><Journal of Consumer Psychology><Food Quality and Preference><Sensory Linguistics><SSRN Electronic Journal><Food Quality and Preference><Journal of Consumer Behaviour><Food Quality and Preference><International Journal of Retail & Distribution Management><Food Quality and Preference><Appetite><Food Quality and Preference><International Journal of Advertising><Attention, Perception, & Psychophysics><Food Quality and Preference><Journal of Destination Marketing & Management><Perception><Food Quality and Preference><Philosophical Transactions of the Royal Society B: Biological Sciences><British Food Journal><Journal of Consumer Psychology><Psychology & Marketing><Designing Luxury Brands><Journal of Business Research><Food Quality and Preference><Neuroscience Letters><Journal of Marketing Research><American Behavioral Scientist><Food Quality and Preference><Food Quality and Preference><Food Quality and Preference><International Journal of Human-Computer Studies><Journal of Brand Management><Food Quality and Preference><Appetite><Computers in Human Behavior><Food Quality and Preference><Flavour><Psychology & Marketing><Journal of Consumer Psychology><Journal of Sensory Studies><TerminologyTerminology. International Journal of Theoretical and Applied Issues in Specialized Communication><Journal of Marketing Research><Food Quality and Preference><Appetite><Multisensory Research><Integrating the Packaging and Product Experience in Food and Beverages><Journal of Consumer Research><Food Quality and Preference><i-Perception><Multisensory Research><Journal of Brand Management><i-Perception><Multisensory Flavor Perception><Multisensory Research><Multisensory Research><British Food Journal><Food Quality and Preference><Psychology & Marketing><Journal of Sensory Studies><Flavour><Basic and Applied Social Psychology><Journal of Brand Management><Journal of Product & Brand Management><International Journal of Research in Marketing><Food Quality and Preference><European Journal of Marketing><i-Perception><Colour Additives for Foods and Beverages><Food Quality and Preference><Journal of Product & Brand Management><Nutrition & Food Science><Psychology & Marketing><Psychology & Marketing><Journal of Sensory Studies><Flavour><Flavour><Journal of Advertising><Marketing Letters><Journal of Brand Management><Food Quality and Preference><Food Quality and Preference><Cognition><The Perfect Meal><Psychology & Marketing><The Perfect Meal><Journal of Sensory Studies><Flavour><Psychonomic Bulletin & Review><Food Research International><Food Quality and Preference><Food Quality and Preference><Chemical Senses><Food Quality and Preference><i-Perception><Seminars in Cell & Developmental Biology><i-Perception><Food Quality and Preference><Cognition><Journal of Sensory Studies><i-Perception><Flavour><Flavour><Food Quality and Preference><Psychonomic Bulletin & Review><Food Quality and Preference><Food Quality and Preference><Food Quality and Preference><Physiology & Behavior><Food Quality and Preference><Journal of Consumer Psychology><Journal of Sensory Studies><European Journal of Marketing><American Speech><Foods><Administrative Sciences><PLOS ONE><Frontiers in Psychology><Frontiers in Psychology><Frontiers in Psychology><Beverages><Frontiers in Psychology><Chemosensory Perception><PLOS ONE><Journal of Brand Management><Uluslararası İktisadi ve İdari İncelemeler Dergisi>",259
"2012thomson_whelan_johnson@journal of consumer psychology~why brands should fear fearful consumers - how attachment style predicts retaliation",31,"<Journal of Business Research><Personality and Individual Differences><Journal of Business Research><Psychology & Marketing><Journal of Strategic Marketing><European Journal of Marketing><Journal of Business Research><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Psychology & Marketing><Open Journal of Business and Management><Journal of Product & Brand Management><Personality and Individual Differences><SSRN Electronic Journal><Journal of Consumer Psychology><Current Opinion in Psychology><AMS Review><Marketing Letters><Journal of Advertising><Asia Pacific Journal of Tourism Research><Human Resource Management Review><Journal of Experimental Social Psychology><Marketing Letters><Journal of the Academy of Marketing Science><Journal of the Academy of Marketing Science><Journal of Strategic Marketing><European Journal of Marketing><Journal of Product & Brand Management><Journal of Product & Brand Management><Frontiers in Psychology><Current Issues in Tourism>",72
"2012venkatraman_clithero_fitzsimons_huettel@journal of consumer psychology~new scanner data for brand marketers - how neuroscience can help better understand differences in brand preferences",50,"<Organizational Neuroethics><Journal of Business Research><Organizational Research Methods><SSRN Electronic Journal><Nicotine & Tobacco Research><SSRN Electronic Journal><Journal of Service Management><European Journal of Marketing><Innovative Research Methodologies in Management><European Journal of Marketing><Innovative Research Methodologies in Management><Innovative Research Methodologies in Management><Expert Systems with Applications><International Journal of Management and Economics><Journal of Business Research><Japan Marketing Journal><Fashion Theory><Journal of Consumer Research><Verbraucherwissenschaften><Journal of Business Ethics><Applying Neuroscience to Business Practice><Advertising and Branding><Neuromarketing in food retailing><Journal of Product & Brand Management><Journal of Marketing><Neuroeconomics><Journal of Marketing Research><Journal of International Consumer Marketing><Journal of Behavioral Finance><Cognition and Strategy><Journal of Marketing Research><DECISION><Journal of Marketing Research><Journal of Hospitality and Tourism Technology><Journal of Behavioral Finance><El Profesional de la Informacion><Worldwide Hospitality and Tourism Themes><Journal of Business Ethics><Journal of Consumer Psychology><Journal of Service Management><The Journal of Legal Studies><Marketing Letters><Journal of Consumer Psychology><International Journal of Neural Systems><Frontiers in Psychology><Neuroethics><Journal of Advertising Research><International Journal of Emerging Markets><Gestão & Produção>",132
"2012wang_krishna@journal of consumer psychology~enticing for me but unfair to her - can targeted pricing evoke socially conscious behavior",8,"<Recherche et Applications en Marketing (English Edition)><Handbook of Virtue Ethics in Business and Management><Journal of Business Economics><Recherche et Applications en Marketing (French Edition)><Journal of Consumer Behaviour><Journal of Public Policy & Marketing><Handbook of Virtue Ethics in Business and Management><Journal of Marketing Management>",14
"2012white_yuan@journal of consumer psychology~building trust to increase purchase intentions - the signaling impact of low pricing policies",11,"<Journal of Business Research><International Journal of Contemporary Hospitality Management><Journal of Retailing><Journal of Business Economics><SSRN Electronic Journal><International Journal of Health Care Quality Assurance><International Journal of Retail & Distribution Management><Asia Pacific Journal of Marketing and Logistics><The Evolution of the Internet in the Business Sector><Academia Revista Latinoamericana de Administración><Journal of Marketing Research>",20
"2012wood_hayes@journal of consumer psychology~social influence on consumer decisions - motives, modes, and consequences",34,"<Tourism Management><Context><Australasian Marketing Journal (AMJ)><Neuropsychologia><Journal of Islamic Marketing><Journal of Behavioral Decision Making><Journal of Consumer Behaviour><Psychology & Marketing><Social Network Analysis and Mining><Journal of Global Scholars of Marketing Science><Trends in Food Science & Technology><The Journal of Business Education><SSRN Electronic Journal><Edible Insects in Sustainable Food Systems><Psychology & Marketing><Advances in Complex Systems><International Journal of Retail & Distribution Management><Journal of Retailing and Consumer Services><Journal of Electronic Commerce in Organizations><Knowledge-Based Systems><Procedia Computer Science><Journal of Consumer Behaviour><Revista de Administração Contemporânea><Information Development><Journal of Retailing and Consumer Services><Food Quality and Preference><Journal of Marketing Management><International Journal of E-Business Research><Journal of Consumer Marketing><Ecological Economics><Sustainability><Voprosy Ekonomiki><PLOS ONE>",83
